,ip,count,country,city,region,latitude,longitude,loc,org,postal,timezone,country_name,hostname,bogon,anycast
12,80.35.176.249,945,ES,Madrid,Madrid,40.4165,-3.7026,"40.4165,-3.7026",AS3352 TELEFONICA DE ESPANA,28013,Europe/Madrid,Spain,249.red-80-35-176.staticip.rima-tde.net,,
13,195.57.124.71,897,ES,Madrid,Madrid,40.4165,-3.7026,"40.4165,-3.7026",AS3352 TELEFONICA DE ESPANA,28001,Europe/Madrid,Spain,,,
14,217.12.16.130,897,ES,Sevilla,Andalusia,37.3828,-5.9732,"37.3828,-5.9732",AS34285 Sociedad Andaluza para el Desarrollo de las Telecomunicaciones S.A.,41001,Europe/Madrid,Spain,130.zone-217.12.16.juntadeandalucia.es,,
15,84.122.139.8,839,ES,Cadiz,Andalusia,36.5267,-6.2891,"36.5267,-6.2891","AS6739 VODAFONE ONO, S.A.",11001,Europe/Madrid,Spain,84.122.139.8.dyn.user.ono.com,,
16,74.86.158.106,836,US,Dallas,Texas,32.7831,-96.8067,"32.7831,-96.8067",AS36351 SoftLayer Technologies Inc.,75201,America/Chicago,United States,6a.9e.564a.ip4.static.sl-reverse.com,,
17,74.86.158.107,810,US,Dallas,Texas,32.7831,-96.8067,"32.7831,-96.8067",AS36351 SoftLayer Technologies Inc.,75201,America/Chicago,United States,6b.9e.564a.ip4.static.sl-reverse.com,,
18,66.249.93.141,782,BE,Brussels,Brussels Capital,50.8505,4.3488,"50.8505,4.3488",AS15169 Google LLC,1000,Europe/Brussels,Belgium,google-proxy-66-249-93-141.google.com,,
19,80.37.230.56,746,ES,Madrid,Madrid,40.4165,-3.7026,"40.4165,-3.7026",AS3352 TELEFONICA DE ESPANA,28001,Europe/Madrid,Spain,56.red-80-37-230.staticip.rima-tde.net,,
20,85.48.148.136,709,ES,Palma,Balearic Islands,39.5694,2.6502,"39.5694,2.6502",AS12479 Orange Espagne SA,07001,Europe/Madrid,Spain,136.pool85-48-148.dynamic.orange.es,,
21,188.84.96.240,696,ES,Madrid,Madrid,40.4165,-3.7026,"40.4165,-3.7026",AS12430 VODAFONE ESPANA S.A.U.,28001,Europe/Madrid,Spain,static-240-96-84-188.ipcom.comunitel.net,,
22,66.249.64.98,683,US,Columbia,South Carolina,34.0007,-81.0348,"34.0007,-81.0348",AS15169 Google LLC,29201,America/New_York,United States,crawl-66-249-64-98.googlebot.com,,
23,66.249.64.13,661,US,Columbia,South Carolina,34.0007,-81.0348,"34.0007,-81.0348",AS15169 Google LLC,29201,America/New_York,United States,crawl-66-249-64-13.googlebot.com,,
24,92.56.114.50,646,ES,Carmona,Andalusia,37.4712,-5.6461,"37.4712,-5.6461",AS12479 Orange Espagne SA,41410,Europe/Madrid,Spain,,,
25,80.39.210.69,633,ES,Granada,Andalusia,37.1882,-3.6067,"37.1882,-3.6067",AS3352 TELEFONICA DE ESPANA,18001,Europe/Madrid,Spain,69.red-80-39-210.dynamicip.rima-tde.net,,
